SETTLEMENT_DATE,SETTLEMENT_PERIOD,MARKET_INDEX_DATA_PROVIDER, MARKET_INDEX_VOLUME,MARKET_INDEX_PRICE
2016-01-01,1,APXMIDP ,403.5,30.86
2016-01-01,1,N2EXMIDP,0,0
2016-01-01,2,APXMIDP ,411.45,32.71
2016-01-01,2,N2EXMIDP,0,0
2016-01-01,3,APXMIDP ,585.7,35.56
2016-01-01,3,N2EXMIDP,0,0
2016-01-01,4,APXMIDP ,508.5,36.08
2016-01-01,4,N2EXMIDP,0,0
2016-01-01,5,APXMIDP ,516.5,36.22
2016-01-01,5,N2EXMIDP,0,0
2016-01-01,6,APXMIDP ,505.8,35.46
2016-01-01,6,N2EXMIDP,0,0
2016-01-01,7,APXMIDP ,360.25,33.04
2016-01-01,7,N2EXMIDP,0,0
2016-01-01,8,APXMIDP ,363.7,33.26
2016-01-01,8,N2EXMIDP,0,0
2016-01-01,9,APXMIDP ,292.5,32.45
2016-01-01,9,N2EXMIDP,0,0
2016-01-01,10,APXMIDP ,341.8,34.83
2016-01-01,10,N2EXMIDP,0,0
2016-01-01,11,APXMIDP ,335.15,33.08
2016-01-01,11,N2EXMIDP,0,0
2016-01-01,12,APXMIDP ,542.8,37.57
2016-01-01,12,N2EXMIDP,0,0
2016-01-01,13,APXMIDP ,574.5,34.02
2016-01-01,13,N2EXMIDP,0,0
2016-01-01,14,APXMIDP ,478.55,33.1
2016-01-01,14,N2EXMIDP,0,0
2016-01-01,15,APXMIDP ,992.25,31.11
2016-01-01,15,N2EXMIDP,0,0
2016-01-01,16,APXMIDP ,830.6,30.67
2016-01-01,16,N2EXMIDP,0,0
2016-01-01,17,APXMIDP ,1022.35,25.15
2016-01-01,17,N2EXMIDP,0,0
2016-01-01,18,APXMIDP ,943.7,25.64
2016-01-01,18,N2EXMIDP,0,0
2016-01-01,19,APXMIDP ,898.1,27.55
2016-01-01,19,N2EXMIDP,0,0
2016-01-01,20,APXMIDP ,941.2,27.57
2016-01-01,20,N2EXMIDP,0,0
2016-01-01,21,APXMIDP ,986.1,28.46
2016-01-01,21,N2EXMIDP,0,0
2016-01-01,22,APXMIDP ,731.85,29.14
2016-01-01,22,N2EXMIDP,0,0
2016-01-01,23,APXMIDP ,406.45,35.85
2016-01-01,23,N2EXMIDP,0,0
2016-01-01,24,APXMIDP ,506.15,35.71
2016-01-01,24,N2EXMIDP,0,0
2016-01-01,25,APXMIDP ,588.75,38.75
2016-01-01,25,N2EXMIDP,0,0
2016-01-01,26,APXMIDP ,661.85,38.84
2016-01-01,26,N2EXMIDP,0,0
2016-01-01,27,APXMIDP ,797.85,39.74
2016-01-01,27,N2EXMIDP,0,0
2016-01-01,28,APXMIDP ,889.65,39.82
2016-01-01,28,N2EXMIDP,0,0
2016-01-01,29,APXMIDP ,893.8,38.74
2016-01-01,29,N2EXMIDP,0,0
2016-01-01,30,APXMIDP ,961.3,38.6
2016-01-01,30,N2EXMIDP,0,0
2016-01-01,31,APXMIDP ,856.35,43.8
2016-01-01,31,N2EXMIDP,0,0
2016-01-01,32,APXMIDP ,960.05,43.19
2016-01-01,32,N2EXMIDP,0,0
2016-01-01,33,APXMIDP ,823.8,44.32
2016-01-01,33,N2EXMIDP,0,0
2016-01-01,34,APXMIDP ,793.6,46.34
2016-01-01,34,N2EXMIDP,0,0
2016-01-01,35,APXMIDP ,716.6,50.3
2016-01-01,35,N2EXMIDP,0,0
2016-01-01,36,APXMIDP ,883.4,44.95
2016-01-01,36,N2EXMIDP,0,0
2016-01-01,37,APXMIDP ,1009.9,41.7
2016-01-01,37,N2EXMIDP,0,0
2016-01-01,38,APXMIDP ,1080,40.18
2016-01-01,38,N2EXMIDP,0,0
2016-01-01,39,APXMIDP ,964.5,32.37
2016-01-01,39,N2EXMIDP,0,0
2016-01-01,40,APXMIDP ,817.35,31.25
2016-01-01,40,N2EXMIDP,0,0
2016-01-01,41,APXMIDP ,773.5,30.86
2016-01-01,41,N2EXMIDP,0,0
2016-01-01,42,APXMIDP ,757,30.92
2016-01-01,42,N2EXMIDP,0,0
2016-01-01,43,APXMIDP ,808.95,31.61
2016-01-01,43,N2EXMIDP,0,0
2016-01-01,44,APXMIDP ,872.05,30.69
2016-01-01,44,N2EXMIDP,0,0
2016-01-01,45,APXMIDP ,1061.25,30.51
2016-01-01,45,N2EXMIDP,0,0
2016-01-01,46,APXMIDP ,1145.7,30.1
2016-01-01,46,N2EXMIDP,0,0
2016-01-01,47,APXMIDP ,508.25,29.84
2016-01-01,47,N2EXMIDP,0,0
2016-01-01,48,APXMIDP ,349.9,28.68
2016-01-01,48,N2EXMIDP,0,0
2016-01-02,1,APXMIDP ,484.6,28.9
2016-01-02,1,N2EXMIDP,0,0
2016-01-02,2,APXMIDP ,435.1,28.89
2016-01-02,2,N2EXMIDP,0,0
2016-01-02,3,APXMIDP ,471.7,28.03
2016-01-02,3,N2EXMIDP,0,0
2016-01-02,4,APXMIDP ,414.75,21.96
2016-01-02,4,N2EXMIDP,0,0
2016-01-02,5,APXMIDP ,506.45,21.51
2016-01-02,5,N2EXMIDP,0,0
2016-01-02,6,APXMIDP ,497.5,21.73
2016-01-02,6,N2EXMIDP,0,0
2016-01-02,7,APXMIDP ,509.3,20.27
2016-01-02,7,N2EXMIDP,0,0
2016-01-02,8,APXMIDP ,483.9,17.91
2016-01-02,8,N2EXMIDP,0,0
2016-01-02,9,APXMIDP ,470,17.26
